;Vanguard Consumer Discretion ETF (VCR);Vanguard Consumer Staples ETF (VDC);Vanguard Energy ETF (VDE);Vanguard Financials ETF (VFH);Vanguard Health Care ETF (VHT);Vanguard Industrials ETF (VIS);Vanguard Information Tech ETF (VGT);Vanguard Materials ETF (VAW);Vanguard REIT ETF (VNQ);Vanguard Communication Services ETF (VOX);Vanguard Utilities ETF (VPU)
07/10/2016;116.6059341;118.4922028;81.72185516;45.06908798;122.7783966;100.7687912;113.7604828;95.47743988;67.01532745;84.08174896;87.89212036
10/10/2016;116.8387909;118.5537567;83.11787415;45.31203461;123.5302734;100.8793182;114.4893494;96.03349304;67.43138885;84.87375641;88.71195221
11/10/2016;115.4787979;117.8506393;82.14817047;44.82615662;120.4021149;99.70952606;112.9748001;94.62967682;66.77877045;84.40947723;87.61032104
12/10/2016;115.9352188;118.4570847;81.73019409;44.89813995;119.5852509;99.93978119;113.0126572;94.6023407;67.54559326;84.84647369;88.42160797
13/10/2016;115.3576889;118.3867874;81.27878571;44.42126083;119.6780853;99.70030212;112.2838287;94.03717041;68.07582092;84.42770386;89.48908997
14/10/2016;115.2272949;118.5186005;80.8524704;44.61021805;118.601326;99.8937149;112.7003021;94.30151367;67.77400208;84.40036774;89.11334229
17/10/2016;114.4168777;118.0176315;80.41776276;44.43026352;118.3414078;99.72794342;112.4068604;94.4929657;67.9208374;84.34574127;89.54032898
18/10/2016;115.0037079;118.4394684;80.70199585;44.72718811;119.6316605;99.97664642;113.1167908;95.47743988;68.35320282;84.78271484;90.30890656
19/10/2016;115.6464767;117.797905;81.86395264;45.14107132;119.1489868;100.2529755;113.2303925;96.24314117;68.50003815;85.10135651;90.12957764
20/10/2016;115.3483963;117.5957794;81.78871918;45.06008911;119.7337723;99.81082916;112.9464035;96.1337738;68.34503937;84.02713013;90.04418945
21/10/2016;116.0749512;118.1933899;81.27878571;45.09608841;118.8612442;99.64503479;113.523819;96.02438354;68.09214783;83.06213379;89.60010529
24/10/2016;116.904007;118.993187;80.98622131;45.28504944;118.6384277;100.0687408;114.8301239;96.28873444;68.24715424;83.52642059;89.87336731
25/10/2016;115.5812531;119.353569;80.36761475;45.15907288;118.1836166;99.47922516;114.4041672;95.24953461;68.12477112;82.76172638;90.35163116
